segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.2,-265.875,42.75,2.8142495
17,0,-8.2,-265.15,42.75,0.5830952
18,17,-8.150001,-264.94998,42.399998,0.46904156
19,18,-8.0,-264.7,39.7,0.56568545
20,19,-8.0,-265.4,30.75,0.5744563
21,20,-7.825,-265.59998,29.800001,0.5123476
22,21,-3.25,-267.6,26.499998,0.5744563
23,22,-2.5,-268.95,27.5,0.53851646
24,23,-2.5,-271.25,30.5,0.53851646
25,24,-2.55,-272.825,35.975,0.5612486
26,25,-3.3,-273.05,37.6,0.41231057
27,26,-4.9,-273.15,38.125,0.39051247
28,27,-7.175,-273.42502,39.825,0.295804
29,28,-8.725,-273.775,42.449997,0.44158804
30,29,-9.25,-274.2,45.5,0.5
31,30,-8.7,-274.65,48.525,0.4387482
32,31,-7.2,-275.0,51.1,0.48989794
33,32,-4.8500004,-275.3,52.824997,0.48218253
34,33,-2.2,-275.35,53.399998,0.5
1,0,-8.2,-266.59998,42.75,0.53851646
2,1,-8.2,-266.95,42.35,0.50990194
3,2,-8.5,-269.4,42.899998,0.56568545
4,3,-9.700001,-274.1,45.100002,0.56568545
5,4,-10.5,-280.69998,47.9,0.56568545
6,5,-11.7,-289.8,51.1,0.56568545
7,6,-12.2,-293.19998,52.100002,0.56568545
8,7,-12.2,-296.6,52.8,0.56568545
9,8,-11.8,-299.8,53.3,0.56568545
10,9,-10.400001,-304.6,54.100002,0.56568545
11,10,-9.3,-320.15,56.0,0.5744563
12,11,-7.2999997,-331.95,57.200005,0.5744563
13,12,-6.5,-337.15,57.8,0.5744563
14,13,-5.6000004,-342.8,58.600002,0.56568545
15,14,-5.0,-348.6,58.899998,0.56568545
16,15,-5.0,-349.44998,58.999996,0.5744563
